Total Employees as of 01/2020,Number of Workers Laid Off,Impact Start Date,Why funding is critical to business_analysis
2,0,3/1/2020,"All current, past, and potential clients have informed me that they are pausing all hiring for the duration of the pandemic. They cite economic uncertainty, lack of monetary resources needed to hire, the inability to onboard/train new staff properly, and issues with the interview/selection process. There are businesses that are currently hiring large amounts of employees, but unfortunately those businesses fall into a sector that I have no experience providing services for (medical). The remaining companies (retail primarily) do not have a business model that supports the services I provide. Since this pandemic began, business has slowed to a halt. I am struggling to provide supplies, pay necessary insurances, and pay for general operating expenses. "
1,1,2/5/2020,"Revenue loss of $23K, ability to provide and bill has dropped by 90%; These funds will be used to cover operational expenses—billing services, rent/utilities, legal fees, accounting services, and educational expenses— due to the loss of revenue generated from elective
surgeries."
1,30,3/1/2020,"Work reduced 65%, employees 37+ subcontractors normally; funds would be used for crucial business operation expenses such as mortgage, utilities, insurance, etc."
1,1,3/24/2020,"Complete shut down - no income or unemployment; fuding for rent, utilities, phone, insurance, supplies, and advertising to help bring clients back."
1,0,3/23/2020,"Unable to do any work due to shutdown, future projects on hold or cancelled; funds used for materials & vendor invoices"
1,1,3/12/2020,"Revenue down $35K, membership dues not coming in; funds used for service outreach to community"
3,3,3/17/2020,"I'll use this fund for rents, utilities, supplies"
2 PT,0,4/1/2020,"POPP receives funding through fundraising and two large fundraisers have been cancelled so far since the crisis. Donations have completely dropped off and sponsorships are non existent for our largest fundraiser planned for October. The funding received would be to support the traditional needs for the organizations operational expenses such as rent, supplies, and utilities.  "
1,1,3/17/2020,"Loss of $4.5K in revenue, the impact takes place mainly in Q2 this year, it was during all of the month of April and first week of May. Funds would allow me to make sure rent and bills are able to be paid as I have no income during this time."
1,1,3/16/2020,"Not currently charging stylists booth rent, all retail sales stopped; funds used for rent, facility fees, utilities, sanitizing/PPE, etc."
8,10,3/17/2020,"$59k gross estimated lost revenue; no longer able to run business; funds will pay for utilities, lost supplies/inventory and rent."
2,9,3/14/2020,Major decrease in revenue; funding would help with working capital during outage for regular expenses
5,5,3/9/2020,Patio Covers peak season is spring.  They are deemed a non-critical business by the governor so cannot fulfill any work on contract and have to pay suppliers for inventory already delivered.
8,8,3/13/2020,"Revenue down 15%, expect 100% loss in Q2, were previously struggling due to recent hike in wages, also includes Luna Fish boutique; funds used for rent, repleshing product, freeing up cash to use towards payroll"
47,7,3/20/2020,"Revenue loss of $477,477.05; The effect is multi-factoral. Patients have succumb to the disease causing lost revenue. Others have declined service during the crisis, fearing becoming contaminated by our staff. It has become necessary to purchase large amounts of PPE for staff which we would have never needed otherwise. Our major referral source (hospitals) are locked down and not allowing us in market effectively. Funds will be used for rent and increased cost of PPE for staff."
2,7,3/16/2020,"Revenues -March down $3k, and April will be down about $8k, Business and sales reduced by 50% in the days leading up to the Governor's mandated stay-at-home order. We were not required to shut down but could not afford payroll on such little traffic. Funds would be used to cover operating expenses (that are on a credit card) for March, such as cups and lids; inventory like milks, cookies and other perishables (especially that we had to get rid of at closure; utilities like phone, insurance, laundry service. It would also cover retraining of employees after a 40 day+ hiatus."
6.5,0,3/23/2020,"Revenue down ~$8k; income is down due to Governor's Directive; funds will pay rent, cost of durable goods, marketing, legal/professional consulting fees, insurance, office supplies, utilities."
15,15,3/16/2020," Q1 2020 is $14,000  less than Q1 2019, the revenue was put to a halt on March 16th. So I lost 1/2 a month of income. I will be losing revenue from April 1st to May 4th or possibly longer; funds will be used to reimburse members for membership, paying utilities, rent and supplies."
9,9,3/16/2020,"Rent, working capital, cost of goods/supplies; $80,000 in revenue expected to be lost in April"
6,0,3/16/2020,"Have had to cut hours due to being takeout only; funds used to cover rent, utilities, operating exenses"
6,0,2/15/2020,"Customers are not dropping off clothes for laundry/dry cleaning services."
8,5,3/17/2020,"Operating at 1/3 of the business; funds used for rent, utilities, and food inventory"
7,15,3/15/2020,"Sales are down $9k a week; funds will be used to take care of any upcoming bills and rent. I have some tax payments coming up as well that I need to take care of, trying to keep my head above water at the moment."
0,20,3/17/2020,"Forced to close due to mandate and no funding; funding will allow reopening for to go orders, rent, supplies, utilities"
5,20,3/16/2020,"80% loss in revenue; funds used to replenish inventories, retrain staff, market to community"
"2 FT, 8 PT",0,3/16/2020,"Business is closed, attempting to provide telehealth therapy which is being denied by medicaid.  I am paying for therapists to care; Funds will pay rent, and equipment payments."
3,0,3/7/2020,"Unable to serve brides since mid-March, forced to turn future brides away; funds would help with rent, stocking inventory, etc."
7,9,3/18/2020,"Revenue loss of $110K, loss of patients due to stay at home mandate; funds would be used to pay rent, utilities and supplies."
5,0,3/16/2020,"Loss of $19,407 in revenue;  2nd qtr loss expected to be $20K; patients are afraid to come in for appointments; result is that we are only seeing 25% of our usual volume. This is not enough volume to pay rent, utilities, etc. It is also not enough business to maintain mycurrent staff.  Without assistance I will need to close my doors by early May. Funds will go fo paying rent and operating expenses."
5,5,3/18/2020,"No business revenue; funds used for vendor payments, supply purchases, rent"
2,0,3/9/2020,65% drop in revenue; funds would help pay rent and utilities
9,2,3/1/2020,"Since the hotel industry took a hit, it has impacted Ignite Hotels as most hotels that were managed are temporarily closed, or are lacking revenue. Hence, management services have been halted and no monthly payments are being received. We need the funds to pay rent and utilities. If we cannot pay this, we will be removed."
6,0,3/16/2020,"Have tried to minimize impact of sales, but restaurant business is obviously struggling."
3,3,3/10/2020,"All events have stopped, no revenue coming in; funds used towards insurance, operating expenses, marketing"
2,2,3/16/2020,"Tasting room closed, curb-side pickup has reduced sales dramatically, all tasting room staff laid off, wholesale orders have stopped and wine club memberships down, projecting $80K loss in sales; funds would go towards rent, operating supplies, bottling supplies and utilities"
3,0,3/16/2020,"Revenue loss of $10K, shelter-in-place order has greatly impacted how many customers are coming in, difficult to produce enough in sales to cover all the expenses of running our shop; funds will pay Utilities, shop insurance, parts, shop supplies, phone and internet service, other operating expenses."
2,1,4/1/2020,"Revenue impact on the business will occur in the second quarter, even if publication can be resumed in June or July. Publication has been temporarily halted, beginning with cancellation of the planned April issue. Most advertising that supports the publication is event-related, and all concerts, plays, movies, fairs, festivals, sports and other group events have been canceled or postponed. In addition, the majority of our pick-up racks are in facilities that are now closed. We are hopeful that we will be able to resume publication with a July issue, but that will depend on easing of COVID-19 restrictions. Funds will pay for operating expenses including - publication rights, business insurance, dues and subscriptions and utilities"
7,6,3/19/2020,"Able to provide emergency care only, entire staff furloughed, Q2 revenue loss will be at least $75K; funding will be used to maintian rent, utility and loan payments"
10,10,3/18/2020,"Q1 Revenue $447K Q2 Projected Revenue $30K, governor's mandate shut down dentist office except for emergencies.   Cancelled and deferred any expenses that am able to.  Funds will pay for building loan payment, and operating expenses."
10,7,3/16/2020,"Expect a 90% decrease in income; funds used towards rent, utilities, supply purchases, marketing"
10,5,3/13/2020,"Having to sell products at lower margins in order to remain competitive, cut hours, etc; fund would help cover rent and utilities"
5,1,3/10/2020,"Sales and manufacturing have stopped. All employees are working from home offices but one, and he is maintaining critical functions and receiving inventory/parts.  Funds will go to paying rent and operating expenses."
4,4,3/27/2020,"Business is effectively closed; funding would go towards job materials, auto payments, insurance, marketing"
5,6,3/21/2020,"Typically busiest time of year, recouping losses unlikely without aid; few open invoices currently being paid, orders cancelled"
5,5,3/24/2020,"In 30th year of business, stayed open as long as possible until could not longer afford to stay open; Funds towards rent, utilities, insurance, purchasing supplies"
7,0,2/1/2020,"Due to lack of real estate sales, unable to do any appraisals. Funds will be used for payroll, rent, insurance, phone/internet and taxes."
2,4,1/1/2020,"Funds will pay for rent, inventory expenses, operating expenses, payment to vendors"
2,3,3/1/2020,"Revenue down by $43K; We starting to see a drop in sales 3/1/20 due to fear of covid19., then when we were required to close and stay closed throughout April we lost our ability to generate income. Funds used to pay rent, utilities, and pay for inventory.  "
8,?,3/1/2020,"Funds used for rent, utilities, open invoices, insurance payments, etc."
0,14,3/16/2020,Booth renting salon; all 14 cosmetologists are unable to pay their rent
3,3,3/16/2020,"Matson Construction is unable to perform any of its projects due to the ""Stay at Home"" order in Washington State. If we were to receive this Grant we would be able to provide continuing industry training for our employees, as well as to help with increased marketing so we can build a backlog of projects that we would be able to start once this pandemic is over"
8,2,3/16/2020,"Currently reliant on food delivery services (UBER, DoorDash etc). Service charges incurred by such companies seriously impact margins resulting in reduced funds for operating expenses.  In addition to helping with operating expenses, in particular rent ($5627/month), allocated funds would allow us to use staff for our own dedicated delivery service,  and increase marketing towards corporate clients and the like"
9,9,3/16/2020,"Grant would help cover rent, utilities, loan payment, and ultimately bring our team back"
1,10,3/23/2020,"Loss of 60% of students, $30K loss of revenue; funds received would go towards mortage, taxes, utilities, instructor training and retention"
5,3,3/23/2020,"Due to decrease in injured workers, force to decrease hours and lay off staff, revenue down 50%; funds would go towards rent and utilities"
2PT,2,3/16/2020,"Loss of over 40% revenue, All entertainment facilities were required to close due to the COVID-19 pandemic and we closed effectively as of March 16th.  We had a reduced income for March as well as having to issue refunds for all uncompleted games for March through June."
4,4,3/1/2020,"Revenue loss of $14K, largest impact will be in Q2 estimating it will be ~$24k+, majority of sales come March-June; funds will pay for RENT, UTILITES, MARKETING, SUPPLIES, TRAINING"
6,1,3/23/2020,"Due to the nature of insurance billing and reimbursement, we will not see revenue impact until Q2 2020. The practice sees a high amount of patients in the vulnerable community that we needed to cancel or limit their exposure during this time. Patient load on a daily basis was at 15% of our normal daily schedule. The hospitals banned elective surgical procedures indefinitely thus severely impacting
our revenue stream. Due to the nature of insurance reimbursement and billing, we likely won't see the majority of the economic impact on the practice for another 1-2 months. Even once we resume a full schedule we will still see the fallout of the economic impact. Funds will go towards paying rent, utilities and supplies."
5,5,,"My company has shut down due to the stay at home order to protect the community, our clients and are employees and their families. The funds would allow us to continue to keep the lights on, pay insurance for the company and medical insurance for my employees. It would also be useful for company bills ie: vehicle payments, auto insurance and equipment upkeep"
7,0,2/1/2020,"Business down 68%; funds used for rent, utilities, equipment loans"
2,2,3/25/2020,"Lost over 95% of sales; use for rent, utilities, insurance, stimulate business growth"
8,14,3/15/2020,Projected loss of $100K; funds dedicated to infrastructure maintenance in preparation for an overwhelming return to business demand
5,1,3/20/2020,"50% reduction in revenue; funds used for critical support services, office space, licensing"
9,3,3/4/2020,"$160k in lost revenue; funds used towards utilities, rent, fleet maintenance"
10,12,3/18/2020,"Revenue loss of $64,233; funds will go towards paying lab bills to pay for treatment started before mandated closure and health insurance benefits and building insurance and utitlities and taxes due."
10,0,4/1/2020,Expect 50% loss in revenue; funds used to rebuild website and marketing to allow staff retention
2,4,3/20/2020,"Revenue down $20K; no revenue at all due to order; funds to pay rent, onlie subsriptions, utilities"
2,1,3/23/2020,50-75% loss in revenue; funds would allow to purchase stock items as they become available
2,2,3/15/2020,"Revenue down 70%; funding would pay utilities and lease, other operational expenses"
2,0,3/18/2020,"Loss of $9K of production per week; dental lab producing crowns, bridges, and implants; funds will be used to pay for license agreement and balance due for materials and outsourced labor."
4,0,3/17/2020,Revenue loss of $10K; lost revenue from mandate closure; impact will continue due to cancelled events and decrease in foot traffic at winery; funds will purchase supplies and inventory.
2,2,3/16/2020,"$10-$15K loss in revenue each month, serving take-out only; funds used for overhead, rent, utilities, business supplies"
6,9,3/16/2020,"Loss of $120k in revenue, stay home mandate affected business, Due to social distancing, we are unable to provide in-store food/alcohol services, which is the main source of our revenue, causing a large revenue impact.  Funds will pay for operating expenses - insurance, inventory, supplies, and utilities."
10,10,3/13/2020,"Salon and boutique, many products will have expired by the time allowed to reopen, mandatory closure; funds used towards rent, utilities, and product"
1,0,3/17/2020,Most of my clients have been financially impacted by the COVID crisis and that negative impact on their finances impairs their ability to pay for the legal services I provide them.  
8,2,3/15/2020,"Loss of $45K revenue; funds will cover utilities, expenses, and rent/mortgage payments."
1,0,3/25/2020,"Primary source of income eliminated with stay home order, only currently in business because they swithed to making hand sanitizer; funds used for whieky barrels, barley, etc."
9,4,3/10/2020,"Have had to drastically cut hours, many employees now on unemployment, sales are so low worried about making rent payments & taxes; funds used towards rent utilities and supplies"
4,4,3/15/2020,"Due to the expected depletion of reserves, coupled with the loss of product soon to expisre, we hope we're granted this request. We must innovate to continue our long standing and debt-free business"
10,0,3/13/2020,"Due to the COVID 19 crisis, people are leaving their house less, hence a lack of need for gas. We are not having many customers purchase items inside the store. We are continuing to operate with a lack of sales as we are an essential business and want to provide our services to those needing them still and to keep our employees employed."
20,20,3/9/2020,Revenue loss of $40-80K; funds to be used for rent and other expenses
11,2,2/15/2020,"Dining room closed, cut hours, $25K loss in revenue; funds would go towards rent and utiities, professional cleaning prior to reopening"
3.5,2.5,3/16/2020,"Revenue down ~31%; funds will pay for operating expenses, equipment leases, and rent"
3,3,2/1/2020,COVID-19 has completely changed ability to provide print services; funds would go towards offsetting rent
2,1.8,3/23/2020,"All near-term events cancelled, revenue down $21K; funds used for lease payments, telecom services, printing services, business operations"
1,0,3/1/2020,"Revenue loss of $56,927.62; funds will help with rent, supplies, equipment, payments, maintenance and utilities."
1,1,3/17/2020,"Revenue impact will be seen in Q2; We have stopped all planned classes, shows, and seminars, hence no income. Expenses are still being incurred, and marketing efforts are needless because we cannot provide services. Additionally, should this continue, there is a possibility of being forced to refund all classes not completed. Funds will be used for overhead & operational expenses (including rent, supplies/inventory, utility bills, and related), marketing efforts (when re-opening) and continuing education/training during the shutdown."
4,8,3/2/2020,"Revenue down $10K; non-essential business, no income; funds will pay rent and salon bills"
5,5,3/23/2020,"Restricted hours of operation, all staff laid off; been utilizing line of credit to stay afloat, funds would be used for necessary inventory restocking and utility payments"
4,0,3/15/2020,"This time of year is when we are normally getting busy. Most of our projects have been put on hold or canceled. The school we are on has been deemed essential but the delivery of doors has been delayed. We can't bill until we install and we are struggling to pay monthly commitments; funds used for storate rent, utilities, office supplies, etc."
1,11,3/16/2020,"Not currently collecting rent from stylists, revenue down $8K; funds will be used for rent, utilities, insurance, licenses"
"1 FTE, 4 PT",1 PT,3/15/2020,"Revenue down 36%, loss of $7700/month; We have had nearly 40% decrease in enrollment.  We run a very small profit margin of about 1 month's expenses.  With the lost revenue for April forward, we cannot pay our lease, utilities, or other operating costs.  We are trying to hold virtual classes, but these are proving to be expensive with the investments in equipment, upgraded internet services, and additional services needed to accommodate the virtual classes.  $10,000 would cover approximately 1.5 months of operating costs to bridge the gap until we can open and rebuild clientele or obtain other resources. We will be forced to file bankruptcy if we cannot fulfill our lease agreement or meet other financial obligations. This situation is certain if children are required to attend summer school and cannot attend summer programs like ours."
4,4,3/17/2020,Currently losing money from services and retail sales; funds will help pay lease as well as utilities
3 FT/1PT,0,3/24/2020,"Impact not yet known, Pool sales will be impacted for several years, which will impact the success of our company and the jobs of our four employees. In addition, all projects that have been started may be at risk of homeowner unable to complete payment.  Funds to be used for operating expenses."
2,0,3/30/2020,Largest client is Lamb Weston. Decrease in sales will likely continue. Funds would cover lease and utilities while we get back on our feet. 
3,0,3/16/2020,"Saw an immediate reduction of 30% in membership as well as zero new members; prevented from selling merchandise, class trials and memberships; funds would support rent, utilities and operating expenses"
1,0,3/15/2020,Need to pay our vendors and subcontractors for services rendered. Gross revenues are less than half of what they were last year because of COVID-19.
6,2,1/16/2020,"$0 income currently; funds used for rent, taxes, insurance, equipment"
3,0,3/16/2020,"As our sales decrease due to being closed for public safety reasons and we continue to pay the overhead costs, we anticipate that we will owe more on those costs than our income will cover; funds used for rent, office expenses, utilities, inventory and marketing"
0,0,3/1/2020,Governor's order shut down their free publication that mainly was funded by advertising for special events that all been cancelled.
9,3,2/23/2020,"Have lost 50% of revenue, expect to lose up to 75%"
1,1,1/1/2020,"Losing an average income of $1k per week; barbershop is unable to see clients; funds will be used to cover operational expenses - rent, utilities, and supplies."
2,2,3/1/2020,"Project $60K loss in revenue; funds will be used to maintain office expenses, marketing, recurring items"
1,0,3/23/2020,"Critical to sustain our operations and be able to continue to assist local small businesses; funds used for rent, utilities"
1,0,3/15/2020,"Revenue is [temporarily] up due to increased demand from grocery stores; however working capital is needed to absorb this growth-packaging materials, labels, raw materials, etc). "
4,2,3/2/2020,"Have had to cancel or move many training programs, provide refunds; use to offset losses and pay teachers"
1,1,3/17/2020,"We have had to cancel all classes, lessons, and private events scheduled for April and May due to the Governor Inslee's Stay Home, Stay Health directive."
9,8,3/10/2020,"We started collecting donations in April of 2018 and accrued enough inventory to open a storefront on April 19, 2019. This is a new business that we have invested over $150,000 dollars into and employs several people. Now we have put everyone on standby and our store front is closed until this crisis ends. We are still liable for $4523.00 rent per month, $400 fiber internet, $300 insurance, etc. We did not make any money in 2019 as all of our capital went towards paying off contractors, advertising, and other bills accrued getting the business up and running. This grant would help us get back on track and offset many of our losses during the pandemic."
4,4,3/12/2020,"Expect $74K lost revenue; funding towards rent, outstanding invoices, April payables"
2,2,1/15/2020,"Revenue loss of $200K; property flipper; The funding would pay for payroll, building materials, and down payment to purchase property. "
1,1,3/16/2020,"Due to the public health crisis we are not considered essential, therefore are not allowed to work as well as this has effected the public in not having the funds to continue this type of work; funds used for operational expenses including supplies as well as pay on current buiness loans"
1,1,3/1/2020,"Revenue loss of $50K.  Funding would be critical to making sure business will reopen; funds would be for rent, utilities, supplies."
1,0,2/1/2020,"OUR REVENUSE HAS DROPPED FROM $124,401.93 IN Q1 2019 TO $34,738.83 IN Q1 2020 WE NEED FUNDING TO CONTINUE TO PAY BILLS AND CONTINUE BASIC OPERATIONS TO STAY IN BUSINESS UNTILL THIS CRISIS ENDS"
3,3,3/17/2020,"Revenue loss of $20K; Mandated closure - no revenue; funds will pay lease, and operating expenses"
1,0,3/17/2020,Loss of $1948/month; Dental offices are closed except to treat emergencies therefore reducing my income by 50%. Funding is critical for and will be allocated to overhead costs and to actively seek new clients.
1,4,3/6/2020,Completely inoperational; grant would allow rent payments and to resume operations at full capacity when able to return to work
1,0,2/1/2020,"Business has been reduced substantially because people are not filing petitions, applying for citizenship, or filing applications for their family members, or any applications in general while they are unemployed."
1,blank,3/16/2020,"Pay overhead, landlord, utilities, relieve financial burdens on booth renters."
6,6,3/16/2020,"Low impact for quarter 1 ($4500), the impact will take place in quarter 2.  No lease income from stylists, no service income, no product sales.  This will create at least a $17,600 dollar impact. Funds would pay for rent, utilities and inventory."
5,0,3/14/2020,"This is 2nd year of business. Had a tough winter but was finally coming out of it and sales were looking good. Unfortunately, when the National Emergency hit, sales went down dramatically. They have seen a slight rebound but are still down 30%-40% compared to the previous year."
2,2,3/24/2020,"Revenue loss of $25K-35K; due to mandated closure unable to work general construction job; funds will be used for business expenses - vehicle payments, insurance, utility bills, supplies and marketing."
1,1,3/16/2020,"61% of revenue loss, clients served include those that experience anxiety, low mood and are immunocompromised, forcing cancellations; funds are critically needed to be applied to rents, utilities, and supplies/inventory to market and provide tele-health services now."
1,2,3/16/2020,"Funds needed to pay rent, utilities, wholesalers, makeup for lack of booth rental income"
2,2,3/16/2020,"My business partner and I have no income coming in and only money going out for bills and rent. We will be using the funds for rent, bills, and product since we had to throw away stuff that would go bad."
1,1,3/13/2020,Lost 50% of sales; funds will be used to pay rent and employees.
2,8,3/13/2020,"Due to the fact that my 2 FT employees and 6 independent contractors that run our restaurant, classes and manufacture our products are considered high risk, I was forced to close the studio on March 13.  I have been forced to close registrations, cancel and refund 23 events so far.  Overall loss of revenue from painting classes and events is over $30k.  The loss of food, wine and product sales add another $11.5K. Funds will pay for rent, inurance, and marketing."
4.5,0,3/26/2020,"Reduced business hours, resulting in lower sales, funding is critical for them to stay open and keep employees"
2,2,3/17/2020,"$5K estimated lost income; funds used to pay utilities, mortage, maintenance, supplies, etc."
5,5,3/17/2020,"$17,866 loss in finances; non-essential business - salon; funds used to pay rent, and operating expenses."
1,0,4/1/2020,"Offering virtual classes, though students able to pay tuition has decreased (also offering free courses); funds would be used for rent, marketing, training"
1,1,3/17/2020,"Salon closed, no income since 3/16/20; funds would go towards rent, utilities, inventory restocking"
1,1,3/1/2020,"Residential & commercial tenants unable to pay rent, estimate $17,450 loss in 60 days; funds used for mortgage payments landlord income"
1,0,3/16/2020,"Intakes have stopped completely, unable to continue serving youth; funds used for rent, utilities, supplies"
3,0,3/30/2020,"Business gone from 9-15 calls daily, to 4-6; funds used towards fuel, vehicle payments, rent, insurance"
2 FTE,2 FTE,3/17/2020,"We had to close two store locations due to stay-at-home order. The impact was the most significant to us because the store closings happened during the PROM season (last week of March through first week of May) during which we get roughly 25% of our yearly revenue. Also, March is a month of starting to pick up travel/resort wear sales after a long period of winter months."
1,1,3/18/2020,"Only seeing emergency patients, loss of $775/day in revenue; funds used for insurance, medical supplies, consulting/accounting fees, professional organization dues"
1,1,3/19/2020,Funds used for payment of outstanding bills
2,0,3/10/2020,Business is down due to lack of activity in the marketplace; funds would be used rent and payroll
4,2,3/15/2020,Loss of revenue of $85K due to tenants inability to pay rent. Funds are needed to cover operation costs to ensure safe drinking water can continue to be delivered to 57 families that live in the community.
1,0,3/17/2020,"Because we are a start-up, we are networking and gaining reputability, we have lost at least one opportunityt to be featured on local media and have been limited in attending and possibly presenting in-state and out-of-state seminars. Since COVID-19, schools have closed limiting the opportunities for presentations, workshops, and other
large group meetings where we can deliver our blended learning approach to participation and instruction. Use funds to increase markeitng to assist with transitioning to blended learning and on-line learning."
1,1,3/23/2020,Revenue down $9K; non-essential business (dental hygienist); no income; funds will pay operating expenses.
1,1,3/20/2020,"Q1 loss of $9,114.88, projected loss from 3/16-6/1 is over $29k. Funds will pay for rent, utilities, continued marketing, training, consulting and supplies"
5,0,3/3/2020,We have had no incoming buisness at this time because Construction has been deemed non essential. We have kept our employees on payroll during time off and all our reserves will go for payroll.
10,10,2/1/2020,"Revenue down $276K; We have 32 plus clients ready to go forward with their bathroom remodels. We need cashflow to purchase materials to start these jobs. Typically we would have
cash flow from completing projects daily and weekly plus our outside sales reps would be making sales and have new weekly deposits. Both our completed weekly installs as well as our new sales deposits give us the cash flow to purchase all materials for future jobs. Funds will be used to order materials needed for projects."
1,1,3/13/2020,Several of our March-June brides have cancelled or postponed due to the events ban. All of our March and April classes have cancelled and we are unsure if they will reschedule. I have refunded class tickets and refunded brides. We also had purchased several supplies and perishable flowers that we are out of money for; use funds to pay our commercial lease and utilities
